Date,EP Adj Close,EP Cumulative Return,EP Investment,ISRG Adj Close,ISRG Cumulative Return,ISRG Investment,CMD Adj Close,CMD Cumulative Return,CMD Investment,OKE Adj Close,OKE Cumulative Return,OKE Investment,Portfolio  Value,Portfolio Daily Return,SPY Adj Close,SPY Daily Return,,,,,,,,
5/25/2011,21.07,1.535714286,153571.4286,345,1.282527881,128252.7881,44.88,0.94384858,283154.5741,33.95,1.268684604,634342.3019,1199321.093,0.004610676,109.37,-0.042964648,,,,,,,,
5/26/2011,20.74,1.511661808,151166.1808,345.21,1.28330855,128330.855,45,0.94637224,283911.6719,33.73,1.260463378,630231.6891,1193640.397,-0.004736593,114.43,0.046264972,,,,,,,,
5/27/2011,20.87,1.521137026,152113.7026,344.26,1.279776952,127977.6952,44.18,0.929127234,278738.1703,33.74,1.26083707,630418.5351,1189248.103,-0.003679746,109.34,-0.044481342,,,,,,,,
5/31/2011,21.01,1.531341108,153134.1108,349,1.29739777,129739.777,43.41,0.912933754,273880.1262,34.27,1.28064275,640321.3752,1197075.389,0.00658171,116.96,0.069690873,,,,,,,,
6/1/2011,20.6,1.501457726,150145.7726,345.09,1.282862454,128286.2454,44.51,0.936067298,280820.1893,33.93,1.26793722,633968.6099,1193220.817,-0.003219991,117.13,0.001453488,,,,,,,,
6/2/2011,20.57,1.499271137,149927.1137,344.68,1.28133829,128133.829,43.75,0.920084122,276025.2366,33.74,1.26083707,630418.5351,1184504.714,-0.007304685,122.89,0.049176129,,,,,,,,
6/3/2011,20.37,1.484693878,148469.3878,342.24,1.272267658,127226.7658,43,0.904311251,271293.3754,33.6,1.255605381,627802.6906,1174792.22,-0.008199625,122.23,-0.005370657,,,,,,,,
6/6/2011,19.84,1.44606414,144606.414,339.62,1.262527881,126252.7881,44.54,0.936698212,281009.4637,32.97,1.23206278,616031.3901,1167900.056,-0.005866709,125.43,0.026180152,,,,,,,,
6/7/2011,19.86,1.447521866,144752.1866,343.83,1.278178439,127817.8439,44.25,0.930599369,279179.8107,33.22,1.241405082,620702.5411,1172452.382,0.003897873,125.97,0.00430519,,,,,,,,
6/8/2011,19.93,1.452623907,145262.3907,343.78,1.277992565,127799.2565,43.44,0.913564669,274069.4006,33.31,1.244768311,622384.1555,1169515.203,-0.002505158,126.83,0.006827022,,,,,,,,
6/9/2011,20.06,1.462099125,146209.9125,341.98,1.271301115,127130.1115,43.19,0.908307045,272492.1136,33.51,1.252242152,626121.0762,1171953.214,0.002084634,127.2,0.002917291,,,,,,,,
6/10/2011,19.75,1.439504373,143950.4373,338.23,1.257360595,125736.0595,43.94,0.924079916,277223.9748,33.28,1.243647235,621823.6173,1168734.089,-0.002746803,129.86,0.02091195,,,,,,,,
6/13/2011,19.29,1.405976676,140597.6676,340.97,1.267546468,126754.6468,45.05,0.947423764,284227.1293,33.18,1.239910314,619955.157,1171534.601,0.002396193,130.35,0.003773294,,,,,,,,
6/14/2011,19.58,1.427113703,142711.3703,346.55,1.288289963,128828.9963,44.73,0.940694006,282208.2019,33.59,1.255231689,627615.8445,1181364.413,0.008390544,131.08,0.005600307,,,,,,,,
6/15/2011,19.13,1.394314869,139431.4869,340.63,1.266282528,126628.2528,46.04,0.968243954,290473.1861,33.12,1.237668161,618834.0807,1175367.007,-0.005076678,130.99,-0.000686604,,,,,,,,
6/16/2011,19.1,1.39212828,139212.828,340.56,1.266022305,126602.2305,47.17,0.992008412,297602.5237,32.98,1.232436472,616218.2362,1179635.818,0.003631897,129.2,-0.013665165,,,,,,,,
6/17/2011,19.72,1.437317784,143731.7784,344.46,1.280520446,128052.0446,47.65,1.002103049,300630.9148,33.44,1.249626308,624813.154,1197227.892,0.01491314,129.28,0.000619195,,,,,,,,
6/20/2011,19.66,1.432944606,143294.4606,351.71,1.307472119,130747.2119,47.43,0.997476341,299242.9022,34.07,1.273168909,636584.4544,1209869.029,0.010558673,127.21,-0.016011757,,,,,,,,
6/21/2011,20.19,1.471574344,147157.4344,351.9,1.308178439,130817.8439,46.77,0.983596215,295078.8644,34.61,1.293348281,646674.1405,1219728.283,0.008149026,128.27,0.008332678,,,,,,,,
6/22/2011,20.06,1.462099125,146209.9125,352.52,1.310483271,131048.3271,47.5,0.998948475,299684.5426,34.7,1.29671151,648355.7549,1225298.537,0.004566799,127.53,-0.005769081,,,,,,,,
6/23/2011,19.77,1.440962099,144096.2099,353.47,1.31401487,131401.487,48.87,1.027760252,308328.0757,34.86,1.302690583,651345.2915,1235171.064,0.008057242,128.41,0.006900337,,,,,,,,
6/24/2011,19.44,1.416909621,141690.9621,347.4,1.291449814,129144.9814,49.83,1.047949527,314384.858,35.32,1.319880419,659940.2093,1245161.011,0.008087905,127.98,-0.003348649,,,,,,,,
6/27/2011,19.68,1.434402332,143440.2332,356.63,1.325762082,132576.2082,49.97,1.050893796,315268.1388,35.42,1.323617339,661808.6697,1253093.25,0.006370452,128.54,0.004375684,,,,,,,,
6/28/2011,19.87,1.448250729,144825.0729,365.75,1.359665428,135966.5428,48.4,1.01787592,305362.776,35.28,1.31838565,659192.8251,1245347.217,-0.00618153,130.91,0.01843784,,,,,,,,
6/29/2011,20.04,1.460641399,146064.1399,368.4,1.369516729,136951.6729,47.25,0.993690852,298107.2555,35.61,1.330717489,665358.7444,1246481.813,0.000911068,131.84,0.007104117,,,,,,,,
6/30/2011,20.17,1.470116618,147011.6618,372.11,1.38330855,138330.855,48.67,1.023554154,307066.2461,35.67,1.332959641,666479.8206,1258888.584,0.009953431,130.49,-0.010239684,,,,,,,,
7/1/2011,20.4,1.486880466,148688.0466,378.65,1.407620818,140762.0818,48.55,1.021030494,306309.1483,36.32,1.357249626,678624.8132,1274384.09,0.012308878,130.33,-0.001226148,,,,,,,,
7/5/2011,20.45,1.490524781,149052.4781,381.37,1.417732342,141773.2342,47.1,0.990536278,297160.8833,36.26,1.355007474,677503.7369,1265490.333,-0.006978867,130.44,0.000844011,,,,,,,,
7/6/2011,20.37,1.484693878,148469.3878,380.87,1.415873606,141587.3606,47.4,0.996845426,299053.6278,36.41,1.360612855,680306.4275,1269416.804,0.003102727,128.54,-0.014566084,,,,,,,,
7/7/2011,20.56,1.498542274,149854.2274,368.25,1.368959108,136895.9108,46,0.967402734,290220.8202,36.33,1.357623318,678811.6592,1255782.618,-0.010740512,127.32,-0.009491209,,,,,,,,
7/8/2011,20.18,1.470845481,147084.5481,368.7,1.37063197,137063.197,46.09,0.969295478,290788.6435,36.27,1.355381166,677690.583,1252626.972,-0.002512892,126.24,-0.008482564,,,,,,,,
