date,open,high,low,close,volume,adj_close
2011-09-22,174.86000000000001,174.86000000000001,171.97,172.83000000000001,3000,172.83000000000001
2011-09-21,179.30000000000001,182.0,179.21000000000001,179.91999999999999,2800,179.91999999999999
2011-09-20,181.08000000000001,181.08000000000001,179.41,179.81,1300,179.81
2011-09-19,178.0,179.22999999999999,178.0,179.22999999999999,900,179.22999999999999
2011-09-16,178.93000000000001,180.59999999999999,178.38999999999999,180.41,1800,180.41
2011-09-15,178.66,178.66,176.84,178.38999999999999,2500,178.38999999999999
2011-09-14,182.0,182.05000000000001,180.97999999999999,181.16,1800,181.16
2011-09-13,182.03999999999999,185.47,182.03999999999999,182.68000000000001,7700,182.68000000000001
2011-09-12,184.53,184.53,182.75999999999999,182.75999999999999,600,182.75999999999999
2011-09-09,185.0,186.53999999999999,184.56,184.56,2500,184.56
2011-09-08,181.81,181.81,181.81,181.81,0,181.81
2011-09-07,180.5,184.09999999999999,178.97,181.81,3200,181.81
2011-09-06,189.22999999999999,190.43000000000001,186.84,187.56,8500,187.56
2011-09-02,188.88,189.40000000000001,188.75,188.81,1500,188.81
2011-09-01,183.09999999999999,184.34,183.09999999999999,184.34,500,184.34
2011-08-31,184.00999999999999,184.86000000000001,183.05000000000001,183.09999999999999,900,183.09999999999999
2011-08-30,181.34,185.0,181.34,184.66,3900,184.66
2011-08-29,178.49000000000001,178.49000000000001,178.38999999999999,178.38999999999999,1000,178.38999999999999
2011-08-26,178.72,181.25,177.69999999999999,181.25,2400,181.25
2011-08-25,171.36000000000001,177.90000000000001,169.71000000000001,177.69999999999999,5500,177.69999999999999
2011-08-24,182.90000000000001,182.90000000000001,174.75,176.0,5900,176.0
2011-08-23,187.56,187.96000000000001,183.34999999999999,183.61000000000001,4300,183.61000000000001
2011-08-22,186.59999999999999,189.41999999999999,186.59999999999999,189.41999999999999,5100,189.41999999999999
2011-08-19,188.91999999999999,188.91999999999999,184.44999999999999,184.87,11900,184.87
2011-08-18,184.11000000000001,185.0,181.34,184.03,600,184.03
2011-08-17,178.75999999999999,178.75999999999999,178.69,178.69,400,178.69
2011-08-16,176.97999999999999,178.11000000000001,176.97999999999999,178.03999999999999,800,178.03999999999999
2011-08-15,176.87,179.38,173.34999999999999,177.69,1600,177.69
2011-08-12,173.40000000000001,173.81999999999999,173.40000000000001,173.81999999999999,300,173.81999999999999
2011-08-11,176.72999999999999,178.84,173.34,174.84,2800,174.84
2011-08-10,176.94999999999999,178.41999999999999,176.03,177.13,8000,177.13
2011-08-09,174.27000000000001,176.59,171.93000000000001,172.69,4000,172.69
2011-08-08,169.63999999999999,173.13,168.22,173.13,12600,173.13
2011-08-05,165.40000000000001,165.81,164.83000000000001,165.81,1700,165.81
2011-08-04,167.63,171.46000000000001,163.28999999999999,166.61000000000001,7100,166.61000000000001
